"Folder"	"Gene"	"iframe"
"STAMP_all_Lollipop"	"PPP2R1A"	2412
"STAMP_all_Lollipop"	"PTCH1"	2414
"STAMP_all_Lollipop"	"PTEN"	2416
"STAMP_all_Lollipop"	"PTPN11"	2418
"STAMP_all_Lollipop"	"PTPRD"	2420
"STAMP_all_Lollipop"	"RAC1"	2422
"STAMP_all_Lollipop"	"RAF1"	2424
"STAMP_all_Lollipop"	"RB1"	2426
"STAMP_all_Lollipop"	"REG3A"	2428
"STAMP_all_Lollipop"	"RET"	2430
"STAMP_all_Lollipop"	"RFX5"	2432
"STAMP_all_Lollipop"	"RHOA"	2434
"STAMP_all_Lollipop"	"RIT1"	2436
"STAMP_all_Lollipop"	"RIT2"	2438
"STAMP_all_Lollipop"	"RLF"	2440
"STAMP_all_Lollipop"	"ROBO1"	2442
"STAMP_all_Lollipop"	"ROS1"	2444
"STAMP_all_Lollipop"	"RPS4Y1"	2446
"STAMP_all_Lollipop"	"S100A7"	2448
"STAMP_all_Lollipop"	"SAMD7"	2450
"STAMP_all_Lollipop"	"SEMA6C"	2452
"STAMP_all_Lollipop"	"SERPINB3"	2454
"STAMP_all_Lollipop"	"SETBP1"	2456
"STAMP_all_Lollipop"	"SETD2"	2458
"STAMP_all_Lollipop"	"SF3B1"	2460
"STAMP_all_Lollipop"	"SKP2"	2462
"STAMP_all_Lollipop"	"SLC14A2"	2464
"STAMP_all_Lollipop"	"SLC1A3"	2466
"STAMP_all_Lollipop"	"SLC45A2"	2468
"STAMP_all_Lollipop"	"SLC8A1"	2470
"STAMP_all_Lollipop"	"SLIT3"	2472
"STAMP_all_Lollipop"	"SLITRK1"	2474
"STAMP_all_Lollipop"	"SMAD4"	2476
"STAMP_all_Lollipop"	"SMO"	2478
"STAMP_all_Lollipop"	"SOX2"	2480
"STAMP_all_Lollipop"	"SPOP"	2482
"STAMP_all_Lollipop"	"SPTA1"	2484
"STAMP_all_Lollipop"	"SRC"	2486
"STAMP_all_Lollipop"	"SRSF2"	2488
"STAMP_all_Lollipop"	"ST6GAL2"	2490
"STAMP_all_Lollipop"	"STK11"	2492
"STAMP_all_Lollipop"	"SYT4"	2494
"STAMP_all_Lollipop"	"TG"	2496
"STAMP_all_Lollipop"	"TGFBR3"	2498
"STAMP_all_Lollipop"	"TNN"	2500
"STAMP_all_Lollipop"	"TNR"	2502
"STAMP_all_Lollipop"	"TP53"	2504
"STAMP_all_Lollipop"	"TP63"	2506
"STAMP_all_Lollipop"	"TPCN2"	2508
